date,job_code,rawpop,is_emerging_job
2015,A0Z40,61975.60040292466,False
2015,A0Z41,5550.732907900475,False
2015,A0Z42,2808.138022001169,False
2015,A0Z43,5846.079313936458,False
2015,A1Z40,18990.302414233596,False
2015,A1Z41,21498.49823596222,False
2015,A1Z42,100653.45493184969,False
2015,A2Z70,2209.321817754719,False
2015,A2Z90,273.9321899157538,True
2015,A3Z40,3367.46813519454,False
2015,A3Z41,2486.044862264428,False
2015,A3Z90,270.18019041531653,True
2015,B0Z20,6439.186834142309,False
2015,B0Z21,11695.011916566811,False
2015,B1Z40,4859.2768651381375,False
2015,B2Z40,8554.502881188257,False
2015,B2Z41,449.2686850473316,True
2015,B2Z42,450.6696953248791,True
2015,B2Z43,947.710876534999,False
2015,B2Z44,3158.991537917953,False
2015,B3Z20,14091.614008666147,False
2015,B4Z41,4932.466093725578,False
2015,B4Z42,4865.314067674685,False
2015,B4Z43,4476.48618260992,False
2015,B4Z44,4561.812438643627,False
2015,B5Z40,2402.776054273323,False
2015,B6Z70,497.4315895696722,False
2015,B6Z71,4738.400333948448,False
2015,B6Z72,1707.702915864766,False
2015,B6Z73,3286.3017269763427,False
2015,B7Z90,958.9016007063356,False
2015,B7Z91,3612.8316563989006,False
2015,C0Z20,1735.382928290627,False
2015,C1Z40,3043.479211065553,False
2015,C2Z70,2745.432367105697,False
2015,C2Z71,260.672949653206,True
2015,C2Z80,97.4743924362055,True
2015,D0Z20,5422.240944129687,False
2015,D1Z40,583.8596614422278,False
2015,D1Z41,3321.460662561977,False
2015,D2Z40,4186.667990653046,False
2015,D2Z41,695.0568287446349,False
2015,D2Z42,3349.169435025855,False
2015,D3Z20,8291.491378597237,False
2015,D4Z40,3472.340266221903,False
2015,D4Z41,493.8998697810658,False
2015,D6Z70,2016.5308447844304,False
2015,D6Z71,1348.7906768194969,False
2015,D6Z80,795.3094387193809,False
2015,E0Z20,4015.5997349461168,False
2015,E0Z21,20361.536719506723,False
2015,E0Z22,1072.364698150635,False
2015,E0Z23,723.7406809692595,False
2015,E0Z24,4765.326131262779,False
2015,E1Z40,310.4804867571245,True
2015,E1Z41,2196.036543411996,False
2015,E1Z42,5356.7532726914815,False
2015,E1Z43,1301.0267174931696,False
2015,E1Z44,439.5554871868934,True
2015,E1Z46,1875.2322802739732,False
2015,E1Z47,760.5740693006984,False
2015,E2Z70,3395.856347117764,False
2015,E2Z80,891.664315698701,False
2015,F0Z20,4944.956074908949,False
2015,F1Z40,1043.9496077110164,False
2015,F1Z41,771.2067036326544,False
2015,F2Z20,1464.657556945943,False
2015,F3Z41,845.6730299954068,False
2015,F4Z20,984.4324744254208,False
2015,F4Z41,655.9198281477749,False
2015,F5Z70,347.33493682268795,True
2015,G0A40,5900.924112471901,False
2015,G0A41,2463.744842670783,False
2015,G0A42,378.5749827255496,True
2015,G0A43,5360.4145189729,False
2015,G0B40,1576.9111103686355,False
2015,G0B41,5606.615377681957,False
2015,G1Z70,9436.198809704574,False
2015,G1Z71,607.5003185117675,False
2015,G1Z80,1847.998023709987,False
2015,H0Z90,3374.0585691763613,False
2015,H0Z91,1822.8440237598609,False
2015,H0Z92,2697.908300278036,False
2015,J0Z20,41030.873583940345,False
2015,J1Z40,12090.39600326159,False
2015,J1Z80,1006.0631617673922,False
2015,J3Z40,7631.459867297729,False
2015,J3Z41,6975.596502009773,False
2015,J3Z42,20606.329794450903,False
2015,J3Z43,13037.594055463864,False
2015,J3Z44,3165.658605408834,False
2015,J4Z40,1659.486461169459,False
2015,J4Z60,94.81330666602568,True
2015,J4Z80,1044.919213538889,False
2015,J5Z60,4783.378206145606,False
2015,J5Z61,400.5713056313008,True
2015,J5Z62,5161.888012468071,False
2015,J5Z80,621.2680275575293,False
2015,J6Z90,157.09417839280093,True
2015,J6Z91,475.3826944714803,True
2015,J6Z92,436.00250037919307,True
2015,K0Z20,1431.9295556898835,False
2015,K0Z40,664.3912106931555,False
2015,L0Z60,26553.812774007376,False
2015,L1Z60,9830.803824792012,False
2015,L2Z60,23596.14741210568,False
2015,L2Z61,22267.08858564499,False
2015,L3Z80,3004.3838100759435,False
2015,L4Z80,1734.9376080647298,False
2015,L4Z81,2605.7337234076563,False
2015,L5Z90,9550.34695441481,False
2015,L5Z91,1156.0735785603608,False
2015,L5Z92,2506.87456440458,False
2015,L6Z90,507.5960940532715,False
2015,M0Z60,4495.256080500508,False
2015,M1Z80,7081.274475206862,False
2015,M1Z81,6493.746868740677,False
2015,M2Z90,25709.854054419477,False
2015,M2Z91,1636.4120867342258,False
2015,M2Z92,1691.4867383000042,False
2015,N0Z90,11006.710123898729,False
2015,N0Z91,2237.6723452505457,False
2015,P3Z90,683.354365341627,False
2015,Q0Z60,11997.96774036213,False
2015,Q1Z80,7688.478163533003,False
2015,Q1Z81,3002.06691962461,False
2015,Q2Z90,4807.900975215148,False
2015,Q2Z91,1608.862362086286,False
2015,R0Z60,36887.79781022728,False
2015,R0Z61,25628.19612929074,False
2015,R1Z60,18784.11060561464,False
2015,R1Z61,7220.593372102771,False
2015,R1Z62,34220.87308228668,False
2015,R1Z63,947.6656039538163,False
2015,R1Z66,8256.438589749157,False
2015,R1Z67,12757.631195807971,False
2015,R2Z80,26208.10141353901,False
2015,R2Z83,6554.767764039911,False
2015,R3Z80,2224.083027033102,False
2015,R3Z82,1433.4790210635283,False
2015,R4Z90,6684.238450502149,False
2015,R4Z91,8431.57569607198,False
2015,R4Z92,1710.287313164132,False
2015,R4Z93,6716.761315448511,False
2015,S0Z20,10868.324045791573,False
