date;job_code;rawpop;logpop;prev_rawpop;growth;is_emerging_job
2015;A0Z40;61975.60040292466;1562.9614645919323;61975.60040292466;0.0;False
2015;A0Z41;5550.732907900475;616.5395900830091;5550.732907900475;0.0;False
2015;A0Z42;2808.1380220011692;400.10152910791754;2808.1380220011692;0.0;False
2015;A0Z43;5846.079313936458;626.3547896640652;5846.079313936458;0.0;False
2015;A1Z40;18990.302414233593;962.1054739037514;18990.302414233593;0.0;False
2015;A1Z41;21498.49823596222;1301.9518311823267;21498.49823596222;0.0;False
2015;A1Z42;100653.45493184969;1181.4969627500388;100653.45493184969;0.0;False
2015;A2Z70;2209.321817754719;313.3451267393616;2209.321817754719;0.0;False
2015;A2Z90;273.9321899157538;67.29233638927235;273.9321899157538;0.0;True
2015;A3Z40;3367.4681351945396;135.4082960189551;3367.4681351945396;0.0;False
2015;A3Z41;2486.044862264428;150.8415305232812;2486.044862264428;0.0;False
2015;A3Z90;270.18019041531653;47.343307057033094;270.18019041531653;0.0;True
2015;B0Z20;6439.186834142309;624.7418587321487;6439.186834142309;0.0;False
2015;B0Z21;11695.011916566811;927.9614422163653;11695.011916566811;0.0;False
2015;B1Z40;4859.2768651381375;571.4507419958471;4859.2768651381375;0.0;False
2015;B2Z40;8554.502881188257;819.9934222231659;8554.502881188257;0.0;False
2015;B2Z41;449.2686850473316;102.83737934028126;449.2686850473316;0.0;True
2015;B2Z42;450.66969532487906;90.39092788673273;450.66969532487906;0.0;True
2015;B2Z43;947.710876534999;173.9695575831851;947.710876534999;0.0;False
2015;B2Z44;3158.991537917953;474.824577966492;3158.991537917953;0.0;False
2015;B3Z20;14091.614008666147;1027.3043971163663;14091.614008666147;0.0;False
2015;B4Z41;4932.466093725578;609.9248092860954;4932.466093725578;0.0;False
2015;B4Z42;4865.314067674685;607.2263994042855;4865.314067674685;0.0;False
2015;B4Z43;4476.4861826099195;530.8765462636113;4476.4861826099195;0.0;False
2015;B4Z44;4561.812438643627;573.2944686828158;4561.812438643627;0.0;False
2015;B5Z40;2402.776054273323;400.9276451746068;2402.776054273323;0.0;False
2015;B6Z70;497.4315895696722;108.31805948841019;497.4315895696722;0.0;False
2015;B6Z71;4738.400333948448;515.5725727347824;4738.400333948448;0.0;False
2015;B6Z72;1707.702915864766;274.6936194307754;1707.702915864766;0.0;False
2015;B6Z73;3286.3017269763427;474.5156418252934;3286.3017269763427;0.0;False
2015;B7Z90;958.9016007063357;139.705425675873;958.9016007063357;0.0;False
2015;B7Z91;3612.8316563989006;385.9883425303145;3612.8316563989006;0.0;False
2015;C0Z20;1735.382928290627;276.9397304480078;1735.382928290627;0.0;False
2015;C1Z40;3043.4792110655535;443.2173974404123;3043.4792110655535;0.0;False
2015;C2Z70;2745.432367105697;384.3388795368993;2745.432367105697;0.0;False
2015;C2Z71;260.672949653206;59.71854356948425;260.672949653206;0.0;True
2015;C2Z80;97.4743924362055;21.26344196211106;97.4743924362055;0.0;True
2015;D0Z20;5422.240944129687;666.601874095254;5422.240944129687;0.0;False
2015;D1Z40;583.8596614422278;139.01458723667972;583.8596614422278;0.0;False
2015;D1Z41;3321.460662561977;500.3194694404371;3321.460662561977;0.0;False
2015;D2Z40;4186.667990653046;666.5915777000706;4186.667990653046;0.0;False
2015;D2Z41;695.0568287446349;120.93875163647563;695.0568287446349;0.0;False
2015;D2Z42;3349.169435025855;547.1546776788713;3349.169435025855;0.0;False
2015;D3Z20;8291.491378597237;838.7019029004834;8291.491378597237;0.0;False
2015;D4Z40;3472.340266221903;453.5391562379016;3472.340266221903;0.0;False
2015;D4Z41;493.8998697810658;95.66772307925777;493.8998697810658;0.0;False
2015;D6Z70;2016.5308447844304;367.43576891534724;2016.5308447844304;0.0;False
2015;D6Z71;1348.7906768194969;234.00975851960723;1348.7906768194969;0.0;False
2015;D6Z80;795.3094387193809;146.49468489133562;795.3094387193809;0.0;False
2015;E0Z20;4015.5997349461168;445.8657779479791;4015.5997349461168;0.0;False
2015;E0Z21;20361.536719506723;1002.7881434799979;20361.536719506723;0.0;False
2015;E0Z22;1072.364698150635;166.01626994473074;1072.364698150635;0.0;False
2015;E0Z23;723.7406809692595;156.71566390691498;723.7406809692595;0.0;False
2015;E0Z24;4765.326131262779;531.9206719686182;4765.326131262779;0.0;False
2015;E1Z40;310.4804867571245;57.83368697850071;310.4804867571245;0.0;True
2015;E1Z41;2196.036543411996;333.30971081931995;2196.036543411996;0.0;False
2015;E1Z42;5356.7532726914815;472.5189118028177;5356.7532726914815;0.0;False
2015;E1Z43;1301.0267174931696;203.2876833779363;1301.0267174931696;0.0;False
2015;E1Z44;439.5554871868934;77.86795525065506;439.5554871868934;0.0;True
2015;E1Z46;1875.2322802739734;274.313953206895;1875.2322802739734;0.0;False
2015;E1Z47;760.5740693006984;148.95367583111886;760.5740693006984;0.0;False
2015;E2Z70;3395.856347117764;481.49753120898515;3395.856347117764;0.0;False
2015;E2Z80;891.664315698701;195.29955556631057;891.664315698701;0.0;False
2015;F0Z20;4944.956074908949;550.1250477186642;4944.956074908949;0.0;False
2015;F1Z40;1043.9496077110164;185.43179243300008;1043.9496077110164;0.0;False
2015;F1Z41;771.2067036326544;141.13440323812011;771.2067036326544;0.0;False
2015;F2Z20;1464.657556945943;254.60978225655367;1464.657556945943;0.0;False
2015;F3Z41;845.6730299954068;178.01272963685523;845.6730299954068;0.0;False
2015;F4Z20;984.4324744254207;183.83656015912456;984.4324744254207;0.0;False
2015;F4Z41;655.9198281477749;131.51516037699832;655.9198281477749;0.0;False
